exact_match,f1_score,bleu,semantic_similarity,generation_time,response_length_chars,response_length_tokens,answer_containment,raw_answer,clean_answer,id,model,experiment,temperature,prompt_type
1.0,1.0,0.5946035575013604,0.956619918346405,0.40036439895629883,31,3,1.0,найти взаимоприемлемое решение.,найти взаимоприемлемое решение.,84025,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
1.0,1.0,0.5503212081491042,0.9699535369873047,0.28557801246643066,9,2,1.0,Les Paul.,Les Paul.,28343,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
0.0,0.8571428571428571,0.7539221180326287,0.7868677377700806,0.7340121269226074,45,10,1.0,До 40 % (и даже до 60 %) массы губки-хозяина.,До 40 % (и даже до 60 %) массы губки-хозяина.,18891,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
0.0,0.3333333333333333,0.19716118825581447,0.8571234345436096,0.3666820526123047,9,2,0.25,1804 год.,1804 год.,13152,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
0.0,0.6666666666666666,0.1597357760615681,0.947917103767395,0.769740104675293,58,3,0.6666666666666666,Согласный-гласный-согласный и согласный-согласный-гласный.,Согласный-гласный-согласный и согласный-согласный-гласный.,13786,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
1.0,1.0,0.8633400213704508,0.9859814047813416,0.5953595638275146,58,8,1.0,Ностальгия по утраченным отношениям с братьями и сёстрами.,Ностальгия по утраченным отношениям с братьями и сёстрами.,5506,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
0.0,0.4799999999999999,0.161692143534558,0.728680431842804,1.113222599029541,174,19,1.0,"Актуальным вопросам химии середины XIX века, включая выявление закономерностей классификации элементов, построение системы соединений и создание предпосылок теории растворов.","Актуальным вопросам химии середины XIX века, включая выявление закономерностей классификации элементов, построение системы соединений и создание предпосылок теории растворов.",72404,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
0.0,0.8571428571428571,0.39763536438352537,0.6475576758384705,0.36328625679016113,21,4,1.0,В больших городах РФ.,В больших городах РФ.,34575,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
0.0,0.0,0.0,0.8713927268981934,0.24398517608642578,1,1,0.0,4,4,46327,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
1.0,1.0,0.31947155212313627,0.9667153358459473,0.3850736618041992,18,3,1.0,Середины XIX века.,Середины XIX века.,46188,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
1.0,1.0,0.6687403049764218,0.9393587112426758,0.5065617561340332,16,4,1.0,2 мая 1888 года.,2 мая 1888 года.,8083,qwen3.5-9b,zero_shot,0.0,make_zero_shot_prompt
